,hour,month,date,year,values
0,0.0,1.0,1.0,2020.0,5.6
1,1.0,1.0,1.0,2020.0,6.799999999999999
2,2.0,1.0,1.0,2020.0,6.799999999999999
3,3.0,1.0,1.0,2020.0,5.2
4,4.0,1.0,1.0,2020.0,3.5999999999999996
5,5.0,1.0,1.0,2020.0,7.800000000000001
6,6.0,1.0,1.0,2020.0,8.0
7,7.0,1.0,1.0,2020.0,6.9
8,8.0,1.0,1.0,2020.0,7.700000000000001
9,9.0,1.0,1.0,2020.0,7.8
10,10.0,1.0,1.0,2020.0,6.300000000000001
11,11.0,1.0,1.0,2020.0,11.0
12,12.0,1.0,1.0,2020.0,7.9
13,13.0,1.0,1.0,2020.0,8.7
14,14.0,1.0,1.0,2020.0,9.899999999999999
15,15.0,1.0,1.0,2020.0,10.0
16,16.0,1.0,1.0,2020.0,6.6000000000000005
17,17.0,1.0,1.0,2020.0,7.199999999999999
18,18.0,1.0,1.0,2020.0,7.200000000000001
19,19.0,1.0,1.0,2020.0,6.9
20,20.0,1.0,1.0,2020.0,8.100000000000001
21,21.0,1.0,1.0,2020.0,10.2
22,22.0,1.0,1.0,2020.0,6.4
23,23.0,1.0,1.0,2020.0,8.0
24,0.0,1.0,2.0,2020.0,9.0
25,1.0,1.0,2.0,2020.0,5.6000000000000005
26,2.0,1.0,2.0,2020.0,3.0
27,3.0,1.0,2.0,2020.0,6.1
28,4.0,1.0,2.0,2020.0,6.4
29,5.0,1.0,2.0,2020.0,1.8000000000000007
30,6.0,1.0,2.0,2020.0,9.3
31,7.0,1.0,2.0,2020.0,12.200000000000001
32,8.0,1.0,2.0,2020.0,12.400000000000002
33,9.0,1.0,2.0,2020.0,9.3
34,10.0,1.0,2.0,2020.0,7.699999999999999
35,11.0,1.0,2.0,2020.0,7.9
36,12.0,1.0,2.0,2020.0,7.199999999999999
37,13.0,1.0,2.0,2020.0,4.8
38,14.0,1.0,2.0,2020.0,7.300000000000001
39,15.0,1.0,2.0,2020.0,3.0999999999999996
40,16.0,1.0,2.0,2020.0,3.8000000000000007
41,17.0,1.0,2.0,2020.0,5.5
42,18.0,1.0,2.0,2020.0,8.2
43,19.0,1.0,2.0,2020.0,9.4
44,20.0,1.0,2.0,2020.0,4.1
45,21.0,1.0,2.0,2020.0,9.0
46,22.0,1.0,2.0,2020.0,12.2
47,23.0,1.0,2.0,2020.0,9.2
48,0.0,1.0,3.0,2020.0,6.9
49,1.0,1.0,3.0,2020.0,5.9
50,2.0,1.0,3.0,2020.0,7.5
51,3.0,1.0,3.0,2020.0,8.3
52,4.0,1.0,3.0,2020.0,12.899999999999999
53,5.0,1.0,3.0,2020.0,13.6
54,6.0,1.0,3.0,2020.0,13.600000000000001
55,7.0,1.0,3.0,2020.0,2.8000000000000007
56,8.0,1.0,3.0,2020.0,9.600000000000001
57,9.0,1.0,3.0,2020.0,-12.299999999999997
58,10.0,1.0,3.0,2020.0,-73.99999999999999
59,11.0,1.0,3.0,2020.0,-86.7
60,12.0,1.0,3.0,2020.0,-81.80000000000001
61,13.0,1.0,3.0,2020.0,-79.5
62,14.0,1.0,3.0,2020.0,-76.2
63,15.0,1.0,3.0,2020.0,-74.1
64,16.0,1.0,3.0,2020.0,-56.80000000000001
65,17.0,1.0,3.0,2020.0,7.9
66,18.0,1.0,3.0,2020.0,8.5
67,19.0,1.0,3.0,2020.0,10.100000000000001
68,20.0,1.0,3.0,2020.0,9.9
69,21.0,1.0,3.0,2020.0,7.5
70,22.0,1.0,3.0,2020.0,7.3
71,23.0,1.0,3.0,2020.0,10.5
72,0.0,1.0,4.0,2020.0,8.899999999999999
73,1.0,1.0,4.0,2020.0,11.200000000000001
74,2.0,1.0,4.0,2020.0,10.8
75,3.0,1.0,4.0,2020.0,7.7
76,4.0,1.0,4.0,2020.0,-7.299999999999997
77,5.0,1.0,4.0,2020.0,-72.2
78,6.0,1.0,4.0,2020.0,-79.60000000000001
79,7.0,1.0,4.0,2020.0,-77.69999999999999
80,8.0,1.0,4.0,2020.0,-70.10000000000001
81,9.0,1.0,4.0,2020.0,-60.900000000000006
82,10.0,1.0,4.0,2020.0,-62.900000000000006
83,11.0,1.0,4.0,2020.0,-60.10000000000001
84,12.0,1.0,4.0,2020.0,-49.099999999999994
85,13.0,1.0,4.0,2020.0,23.6
86,14.0,1.0,4.0,2020.0,25.0
87,15.0,1.0,4.0,2020.0,239.7
88,16.0,1.0,4.0,2020.0,460.29999999999995
89,17.0,1.0,4.0,2020.0,481.69999999999993
90,18.0,1.0,4.0,2020.0,476.90000000000003
91,19.0,1.0,4.0,2020.0,467.1
92,20.0,1.0,4.0,2020.0,477.79999999999995
93,21.0,1.0,4.0,2020.0,482.1
94,22.0,1.0,4.0,2020.0,475.19999999999993
95,23.0,1.0,4.0,2020.0,473.0
96,0.0,1.0,5.0,2020.0,469.2
97,1.0,1.0,5.0,2020.0,477.0
98,2.0,1.0,5.0,2020.0,473.20000000000005
99,3.0,1.0,5.0,2020.0,469.29999999999995
100,4.0,1.0,5.0,2020.0,470.1
101,5.0,1.0,5.0,2020.0,465.4
102,6.0,1.0,5.0,2020.0,400.0
103,7.0,1.0,5.0,2020.0,394.6
104,8.0,1.0,5.0,2020.0,397.0
105,9.0,1.0,5.0,2020.0,397.8
106,10.0,1.0,5.0,2020.0,394.2
107,11.0,1.0,5.0,2020.0,387.70000000000005
108,12.0,1.0,5.0,2020.0,388.70000000000005
109,13.0,1.0,5.0,2020.0,395.40000000000003
110,14.0,1.0,5.0,2020.0,409.40000000000003
111,15.0,1.0,5.0,2020.0,440.6
112,16.0,1.0,5.0,2020.0,406.9
113,17.0,1.0,5.0,2020.0,438.6
114,18.0,1.0,5.0,2020.0,445.69999999999993
115,19.0,1.0,5.0,2020.0,434.4
116,20.0,1.0,5.0,2020.0,367.5
117,21.0,1.0,5.0,2020.0,438.6
118,22.0,1.0,5.0,2020.0,438.0
119,23.0,1.0,5.0,2020.0,439.69999999999993
120,0.0,1.0,6.0,2020.0,432.40000000000003
121,1.0,1.0,6.0,2020.0,429.1
122,2.0,1.0,6.0,2020.0,432.2
123,3.0,1.0,6.0,2020.0,438.7
124,4.0,1.0,6.0,2020.0,440.4
125,5.0,1.0,6.0,2020.0,438.1
126,6.0,1.0,6.0,2020.0,436.5
127,7.0,1.0,6.0,2020.0,437.70000000000005
128,8.0,1.0,6.0,2020.0,443.40000000000003
129,9.0,1.0,6.0,2020.0,480.8
130,10.0,1.0,6.0,2020.0,472.2
131,11.0,1.0,6.0,2020.0,515.7
132,12.0,1.0,6.0,2020.0,481.4
133,13.0,1.0,6.0,2020.0,490.9
134,14.0,1.0,6.0,2020.0,470.9
135,15.0,1.0,6.0,2020.0,468.6
136,16.0,1.0,6.0,2020.0,468.8
137,17.0,1.0,6.0,2020.0,462.7
138,18.0,1.0,6.0,2020.0,451.0
139,19.0,1.0,6.0,2020.0,434.0
140,20.0,1.0,6.0,2020.0,448.79999999999995
141,21.0,1.0,6.0,2020.0,471.1
142,22.0,1.0,6.0,2020.0,464.20000000000005
143,23.0,1.0,6.0,2020.0,470.1
144,0.0,1.0,7.0,2020.0,471.3
145,1.0,1.0,7.0,2020.0,476.19999999999993
146,2.0,1.0,7.0,2020.0,455.5
147,3.0,1.0,7.0,2020.0,458.9
148,4.0,1.0,7.0,2020.0,460.6
149,5.0,1.0,7.0,2020.0,396.29999999999995
150,6.0,1.0,7.0,2020.0,358.1
151,7.0,1.0,7.0,2020.0,349.59999999999997
152,8.0,1.0,7.0,2020.0,344.90000000000003
153,9.0,1.0,7.0,2020.0,337.9
154,10.0,1.0,7.0,2020.0,365.3
155,11.0,1.0,7.0,2020.0,476.29999999999995
156,12.0,1.0,7.0,2020.0,454.5
157,13.0,1.0,7.0,2020.0,456.7
158,14.0,1.0,7.0,2020.0,456.4
159,15.0,1.0,7.0,2020.0,515.0
160,16.0,1.0,7.0,2020.0,478.79999999999995
161,17.0,1.0,7.0,2020.0,462.0
162,18.0,1.0,7.0,2020.0,502.3
163,19.0,1.0,7.0,2020.0,482.4
164,20.0,1.0,7.0,2020.0,470.8
165,21.0,1.0,7.0,2020.0,472.8
166,22.0,1.0,7.0,2020.0,470.5
167,23.0,1.0,7.0,2020.0,457.7
168,0.0,1.0,8.0,2020.0,450.4
169,1.0,1.0,8.0,2020.0,454.70000000000005
170,2.0,1.0,8.0,2020.0,452.0
171,3.0,1.0,8.0,2020.0,445.3
172,4.0,1.0,8.0,2020.0,449.70000000000005
173,5.0,1.0,8.0,2020.0,453.5
174,6.0,1.0,8.0,2020.0,482.90000000000003
175,7.0,1.0,8.0,2020.0,505.9
176,8.0,1.0,8.0,2020.0,473.6
177,9.0,1.0,8.0,2020.0,454.2
178,10.0,1.0,8.0,2020.0,448.79999999999995
