,Unnamed: 0.1,Unnamed: 0,values,year,month,date,hour
0,0,0,1303.02,2022,9,1,0
1,1,1,1300.8,2022,9,1,1
2,2,2,1309.6,2022,9,1,2
3,3,3,1358.42,2022,9,1,3
4,4,4,1360.1,2022,9,1,4
5,5,5,1328.58,2022,9,1,5
6,6,6,1277.12,2022,9,1,6
7,7,7,1292.48,2022,9,1,7
8,8,8,1313.7,2022,9,1,8
9,9,9,1321.68,2022,9,1,9
10,10,10,1370.5,2022,9,1,10
11,11,11,1388.22,2022,9,1,11
12,12,12,1391.4,2022,9,1,12
13,13,13,1355.34,2022,9,1,13
14,14,14,1338.68,2022,9,1,14
15,15,15,1341.16,2022,9,1,15
16,16,16,1331.08,2022,9,1,16
17,17,17,1326.68,2022,9,1,17
18,18,18,1361.48,2022,9,1,18
19,19,19,1371.92,2022,9,1,19
20,20,20,1338.52,2022,9,1,20
21,21,21,1310.5,2022,9,1,21
22,22,22,1317.56,2022,9,1,22
23,23,23,1318.44,2022,9,1,23
24,24,24,1320.22,2022,9,2,0
25,25,25,1329.42,2022,9,2,1
26,26,26,1367.18,2022,9,2,2
27,27,27,1368.02,2022,9,2,3
28,28,28,1339.64,2022,9,2,4
29,29,29,1242.46,2022,9,2,5
30,30,30,1252.38,2022,9,2,6
31,31,31,1307.84,2022,9,2,7
32,32,32,1321.92,2022,9,2,8
33,33,33,1328.66,2022,9,2,9
34,34,34,1382.38,2022,9,2,10
35,35,35,1383.44,2022,9,2,11
36,36,36,1363.2,2022,9,2,12
37,37,37,1337.24,2022,9,2,13
38,38,38,1338.8,2022,9,2,14
39,39,39,1333.12,2022,9,2,15
40,40,40,1332.22,2022,9,2,16
41,41,41,1374.7,2022,9,2,17
42,42,42,1382.42,2022,9,2,18
43,43,43,1379.58,2022,9,2,19
44,44,44,1336.14,2022,9,2,20
45,45,45,1320.78,2022,9,2,21
46,46,46,1316.34,2022,9,2,22
47,47,47,1316.94,2022,9,2,23
48,48,48,1314.82,2022,9,3,0
49,49,49,1365.64,2022,9,3,1
50,50,50,1367.06,2022,9,3,2
51,51,51,1356.98,2022,9,3,3
52,52,52,1320.78,2022,9,3,4
53,53,53,1323.7,2022,9,3,5
54,54,54,1319.42,2022,9,3,6
55,55,55,1321.08,2022,9,3,7
56,56,56,1377.56,2022,9,3,8
57,57,57,1381.62,2022,9,3,9
58,58,58,1379.12,2022,9,3,10
59,59,59,1343.96,2022,9,3,11
60,60,60,1334.56,2022,9,3,12
61,61,61,1340.54,2022,9,3,13
62,62,62,1106.64,2022,9,3,14
63,63,63,977.04,2022,9,3,15
64,64,64,1338.96,2022,9,3,16
65,65,65,1366.18,2022,9,3,17
66,66,66,1362.88,2022,9,3,18
67,67,67,1319.54,2022,9,3,19
68,68,68,1305.12,2022,9,3,20
69,69,69,1304.5,2022,9,3,21
70,70,70,1306.76,2022,9,3,22
71,71,71,1319.1,2022,9,3,23
72,72,72,1361.78,2022,9,4,0
73,73,73,1353.62,2022,9,4,1
74,74,74,1344.24,2022,9,4,2
75,75,75,1291.5,2022,9,4,3
76,76,76,1302.84,2022,9,4,4
77,77,77,1307.5,2022,9,4,5
78,78,78,1307.34,2022,9,4,6
79,79,79,1326.94,2022,9,4,7
80,80,80,1366.5,2022,9,4,8
81,81,81,1363.72,2022,9,4,9
82,82,82,1335.64,2022,9,4,10
83,83,83,1320.98,2022,9,4,11
84,84,84,1322.58,2022,9,4,12
85,85,85,1326.36,2022,9,4,13
86,86,86,1329.84,2022,9,4,14
87,87,87,1391.88,2022,9,4,15
88,88,88,1377.84,2022,9,4,16
89,89,89,1373.0,2022,9,4,17
90,90,90,1311.24,2022,9,4,18
91,91,91,1304.72,2022,9,4,19
92,92,92,1310.78,2022,9,4,20
93,93,93,1307.36,2022,9,4,21
94,94,94,1317.3,2022,9,4,22
95,95,95,1367.46,2022,9,4,23
96,96,96,1363.62,2022,9,5,0
97,97,97,1332.28,2022,9,5,1
98,98,98,1297.08,2022,9,5,2
99,99,99,1295.76,2022,9,5,3
100,100,100,1303.64,2022,9,5,4
101,101,101,1310.7,2022,9,5,5
102,102,102,1363.16,2022,9,5,6
103,103,103,1384.26,2022,9,5,7
104,104,104,1391.88,2022,9,5,8
105,105,105,1340.74,2022,9,5,9
106,106,106,1234.7,2022,9,5,10
107,107,107,1321.5,2022,9,5,11
108,108,108,1342.46,2022,9,5,12
109,109,109,1349.68,2022,9,5,13
110,110,110,1392.32,2022,9,5,14
111,111,111,1394.6,2022,9,5,15
112,112,112,1389.82,2022,9,5,16
113,113,113,1328.14,2022,9,5,17
114,114,114,1314.36,2022,9,5,18
115,115,115,1307.16,2022,9,5,19
116,116,116,1321.38,2022,9,5,20
117,117,117,1356.98,2022,9,5,21
118,118,118,1387.14,2022,9,5,22
119,119,119,1378.34,2022,9,5,23
120,120,120,1358.9,2022,9,6,0
121,121,121,1321.32,2022,9,6,1
122,122,122,1319.92,2022,9,6,2
123,123,123,1319.4,2022,9,6,3
124,124,124,1321.52,2022,9,6,4
125,125,125,1374.12,2022,9,6,5
126,126,126,1394.06,2022,9,6,6
127,127,127,1396.6,2022,9,6,7
128,128,128,1355.3,2022,9,6,8
129,129,129,1351.3,2022,9,6,9
130,130,130,1335.74,2022,9,6,10
131,131,131,1340.3,2022,9,6,11
132,132,132,1384.6,2022,9,6,12
133,133,133,1408.88,2022,9,6,13
134,134,134,1415.72,2022,9,6,14
135,135,135,1385.46,2022,9,6,15
136,136,136,1347.5,2022,9,6,16
137,137,137,1344.06,2022,9,6,17
138,138,138,1333.84,2022,9,6,18
139,139,139,1332.1,2022,9,6,19
140,140,140,1373.32,2022,9,6,20
141,141,141,1393.86,2022,9,6,21
142,142,142,1403.82,2022,9,6,22
143,143,143,1360.08,2022,9,6,23
144,144,144,1347.7,2022,9,7,0
145,145,145,1332.36,2022,9,7,1
146,146,146,1327.94,2022,9,7,2
147,147,147,1356.38,2022,9,7,3
148,148,148,1397.18,2022,9,7,4
149,149,149,1402.62,2022,9,7,5
150,150,150,1383.12,2022,9,7,6
151,151,151,1351.62,2022,9,7,7
152,152,152,1358.66,2022,9,7,8
153,153,153,1338.52,2022,9,7,9
154,154,154,1341.1,2022,9,7,10
155,155,155,1372.28,2022,9,7,11
156,156,156,1408.5,2022,9,7,12
157,157,157,1419.64,2022,9,7,13
158,158,158,1370.68,2022,9,7,14
159,159,159,1362.18,2022,9,7,15
160,160,160,1354.4,2022,9,7,16
161,161,161,1337.48,2022,9,7,17
162,162,162,1356.76,2022,9,7,18
163,163,163,1386.16,2022,9,7,19
164,164,164,1399.22,2022,9,7,20
165,165,165,1385.94,2022,9,7,21
166,166,166,1351.16,2022,9,7,22
167,167,167,1340.4,2022,9,7,23
168,168,168,1315.38,2022,9,8,0
169,169,169,1320.04,2022,9,8,1
170,170,170,1349.04,2022,9,8,2
171,171,171,1383.7,2022,9,8,3
172,172,172,1404.1,2022,9,8,4
173,173,173,1361.96,2022,9,8,5
174,174,174,1349.12,2022,9,8,6
175,175,175,1348.64,2022,9,8,7
176,176,176,1345.96,2022,9,8,8
177,177,177,1351.06,2022,9,8,9
178,178,178,1389.14,2022,9,8,10
179,179,179,1389.38,2022,9,8,11
180,180,180,1392.1,2022,9,8,12
181,181,181,1362.48,2022,9,8,13
182,182,182,1357.26,2022,9,8,14
183,183,183,1349.46,2022,9,8,15
184,184,184,1342.74,2022,9,8,16
185,185,185,1352.52,2022,9,8,17
186,186,186,1390.04,2022,9,8,18
187,187,187,1388.92,2022,9,8,19
188,188,188,1356.6,2022,9,8,20
189,189,189,1344.0,2022,9,8,21
190,190,190,1345.38,2022,9,8,22
191,191,191,1341.18,2022,9,8,23
192,192,192,1346.48,2022,9,9,0
193,193,193,1383.94,2022,9,9,1
194,194,194,1374.34,2022,9,9,2
195,195,195,1358.28,2022,9,9,3
196,196,196,1319.96,2022,9,9,4
197,197,197,1331.66,2022,9,9,5
198,198,198,1335.78,2022,9,9,6
199,199,199,1338.08,2022,9,9,7
200,200,200,1365.32,2022,9,9,8
201,201,201,1389.58,2022,9,9,9
202,202,202,1379.44,2022,9,9,10
203,203,203,1342.26,2022,9,9,11
204,204,204,1338.02,2022,9,9,12
205,205,205,1351.84,2022,9,9,13
206,206,206,1352.2,2022,9,9,14
207,207,207,1352.46,2022,9,9,15
208,208,208,1399.04,2022,9,9,16
209,209,209,1386.46,2022,9,9,17
210,210,210,1379.8,2022,9,9,18
211,211,211,1318.94,2022,9,9,19
212,212,212,1325.94,2022,9,9,20
213,213,213,1329.9,2022,9,9,21
214,214,214,1338.42,2022,9,9,22
215,215,215,1334.42,2022,9,9,23
216,216,216,1386.24,2022,9,10,0
217,217,217,1383.72,2022,9,10,1
218,218,218,1360.38,2022,9,10,2
219,219,219,1319.74,2022,9,10,3
220,220,220,1332.74,2022,9,10,4
221,221,221,1341.74,2022,9,10,5
222,222,222,1339.64,2022,9,10,6
223,223,223,1387.08,2022,9,10,7
224,224,224,1401.32,2022,9,10,8
225,225,225,1396.84,2022,9,10,9
226,226,226,1334.46,2022,9,10,10
227,227,227,1258.12,2022,9,10,11
228,228,228,1307.44,2022,9,10,12
229,229,229,1357.58,2022,9,10,13
230,230,230,1352.56,2022,9,10,14
